,Tweet
1364,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey What a shame!! A University of Buffalo debasing itself by inviting all like minded individuals that have one thing in common and that is extreme tribalism. I wonder what the benefit would be by inviting such personalities other than spewing hate &amp; divisiveness. Shame!!!'
1365,"'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey @baldycenter you are hoodwinked by #TPLFTerroristGroup agents as you host their apologists,terror master minds and promoters. You can’t seek a solution for a problem by consulting with those  who thrive in it. Cancel this or hear the other side of the story.'"
1366,@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey This has to be seriously stoped and all Ethiopians must fight such political agitation against Ethiopian Sovereignty.   Foreign adversaries won’t give up until they see Ethiopia is failed as a state. We shall stand together and say no.'
1367,'@YeGodanaNewte @EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @AfarWatch @AssebPress'
1368,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/HHm9pPFTtL'
1369,"@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Don't do a disservice to your student and whomever is going to participate in your workshop by inviting  only people with the same idea_ hate for Ethiopia and its people,at least invite people with diverse ideas based on facts. Don't turn education into political farce."
1370,'@IM32966834 @EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Aww didn’t your masters invite you already?'
1371,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey #BreakTheSilence https://t.co/9ljrriMLFU'
1372,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey #BreakTheSilence https://t.co/tq8hs3HZhE'
1373,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/jjZtOVBywG'
1374,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/SsJb6rBzoE'
1375,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey #TigrayGenocide https://t.co/IQ2GychGLR'
1376,"'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey It is clear these people are not interested in real peace supporting the most ruthless #TPLFTerroristGroup, #TPLF have no political social &amp; economic power in Ethiopia miserably failed, they can chat but their discussion will be irrelevant.'"
1377,"'@EA_DevCouncil @HermelaTV @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Is it even legal for @baldycenter to host such an event with an organization that has been designated a ""terrorist"" by the Ethiopian people and the US gov\'t? Does the @baldycenter appreciate that @wdavison10 was kicked out of Ethiopia for his biased &amp; misleading reporting?'"
1378,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey This @EA_DevCouncil  must change its name to Ethio-Amhara development counsel because it stands for Fano terrorist group and have no moral to criticize #TPLF  belongs to the people of #Tigray'
1379,"'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Univer. of Buffalo has the right to hold a panel decision. Hwr, having one sided and inviting tplf designated terrorist that murder thousands innocent Ethiopians is unethical and degrading human lives lost as we cry for justice. We urge to cancel or add guest w/ opposite views.'"
1380,'@EA_DevCouncil @HermelaTV @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/sPgjogzYhH'
1381,@UBSchoolofLaw    @UBuffalo    @ubalumni https://t.co/wPciKG3hsN'
1382,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/Fx3jzJB5Bo'
1383,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/l81eHSjJyG'
1384,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/59ec9yLn0o'
1385,'@EA_DevCouncil @HermelaTV @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/vX1CwKTKgS'
1386,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/eE2JI56dtE'
1387,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/p4nzeBrDU5'
1388,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Educational institutions should not be used as tools for regime change and destabilization in sovereign countries.'
1389,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey One look at the panel tells you all you need to know about the motives. #BreakTheSilence'
1390,@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey This needs to end 👇   https://t.co/NEuy97ekTv'
1391,@EA_DevCouncil @UBSchoolofLaw @baldycenter @UBuffalo @UB_President @ubalumni @zehabesha @zborkena @UBNewsSource @UBSpectrum @AwasaGuardian Amnesty has also accused Amhara and federal authorities of war crimes. You can’t use them as a source re TPLF and trash them when it comes to others.    The right thing to do here is request for the likes of @afitz3105 and/or @SenaitSenay to be invited to balance the panel.'
1392,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/1OftrSK9fg'
1393,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/uXoWEU1n4q'
1394,@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Here is the latest human rights watch amnesty report on the current conflict   https://t.co/5CfID2I2lc'
1395,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey This is a very important and timely discussion. Ethiopian government has blocked food aid electricity internet and telephone for over 7 million Ethiopians. The seige and conflict needs to end to save lives.'
1396,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Wow! Too funny. Reda with his fat self going to talk about starving.'
1397,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey #TplfTerroristGroup has caused enormous suffering to millions of Ethiopians across the country for the last 30 yrs. The terrorist group will do worse if it is given another chance. #NoMore'
1398,'@EA_DevCouncil @NeaminZeleke @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @iyoba4u @Valeria_Timofey WowOwow this is troubling.'
1399,@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey These ate people who should be arrested/captured and brought before a war crime tribunal.   What a disgrace.'
1400,"@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey @baldycenter You can't talk about path ways to peace in 🇪🇹 without 🇪🇹/ns. Anything about us without us is against us!   If you honestly want to talk abt peace in 🇪🇹, include pple with different views. These panelists are of z same and known views regarding 🇪🇹: All are against 🇪🇹"
1401,@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Universies exploited to push political agenda of failed dictators.   1st guy former employee of dictators and now a rebel that murder thausands.   2nd ethnic extremist with no human values   3rd propagandist that support the 1st guy   4th pro tplf that operates in the name of analyst'
1402,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey The paid #TPLF Activists could say anything and this will not make sense for true Ethiopians both in-country and out of the country. Ethiopians and friends of Ethiopia believe the truth will reveal soon. Shame on paid #TPLF activities!'
1403,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Willliam omg'
1404,@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey No Shame with these puppet makers!!!      #NoMore #BreakTheSilence https://t.co/3B4uMNdopV'
1405,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey @baldycenter or you could add  few more  names from the Most Wanted Fugitives List. It’s just as good as your current pick.'
1406,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Tplf terrorist group https://t.co/XRO1H1mBQB'
1407,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey https://t.co/ggHeOTu98P'
1408,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey A joke. These clowns will never be a Le to speak for Ethiopia. You might as well call this anti Ethiopia gathering.'
1409,@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey What will NOT be covered by @UBSchoolofLaw pro-TPLF panel:      ~ Tigray's TPLF rebel hijackings of UN aid trucks...   ~ UN's WHO-DG @DrTedros leadership history of TPLF rebels...   ~ TPLF perpetrators of Mai Kadra massacre hiding in UN refugee camps... https://t.co/KMLdfTwTFa
1410,"'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey How is Getachew Reda participating? We are told 1000times of Tigrayans are cutoff for the world, no electricity, communications etc. In TPLF land, some are more equal than others; he is also getting fatter by the day. Not making sense.'"
1411,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey Thank you for the info.though!'
1412,'@EA_DevCouncil @baldycenter @UBSchoolofLaw @UBuffalo @ubalumni @UB_President @TheBuffaloNews @WKBW @NeaminZeleke @iyoba4u @Valeria_Timofey It is indeed very concerning for  @baldycenter to sponsor a terrorist leader @reda_getachew and others who are sponsering terrorist groups #TPLF and #OLF to destroy a sovereign country through violence and terrorism.  @UBSchoolofLaw @UBuffalo'
1413,'The countdown is on. Just one week until #UBGivingDay! Get ready to be bold and support the future of #UBuffalo. https://t.co/NIvOnyZTin https://t.co/G7O8cVFPzu'
1414,'Looking for a conversation starter? Tell your friends #UBGivingDay is April 26! Grab talking points and find ways to make an impact: https://t.co/93Z5BJ5InG https://t.co/wSEn61Kq3C'
1415,"'Happy #DyngusDay to all #UBalumni! Traditionally, on this day, boys throw water over girls and spank them with pussy willow branches. See &lt;https://t.co/yqSMfW01NF&gt;.'"
1416,'#UBuffalo grad and Fast 46 recipient Lonny Anger shares his career advice for other UB grads. What’s your advice? Let us know in the comments! https://t.co/aWWs0l4F4Q https://t.co/Ocbz6rfKOF'
1417,'@BuffaloArchPlan @UBuffalo @ubalumni 💙 https://t.co/APewctzTXS'
1418,Amazing story from another one of our remarkable #UBalumni! Talia's story and work on the West Side of Buffalo is inspiring. 💙\U0001f9ac   #UBuffalo  #UBTrueBlue https://t.co/zAlYyG5ho9
1419,'@Levi_Shetler0 the @ubalumni and current member of the @fcflio making the play! @DraftDiamonds @altfbscout https://t.co/OczWffWiKw'
1420,"'""Part of change is having to be selfless.” See how this #UBuffalo grad is making a difference in her community in Ep. 4 of True Blue. Live now! #UBTrueBlue https://t.co/y0ed3IbYHY https://t.co/SeVHvaFByA'"
1421,'#ChagPesachSameach and #HappyEaster to all #UBalumni! See &lt;https://t.co/1MgaX0Fb1c&gt;.'
1422,"'Allen West @AllenWest says ""...organizers of the protest need to be expelled...If there are not consequences then The University at Buffalo is complicit in aiding and abetting the environment they created and allowed to promulgate.""#UBuffalo #UBAlumni #UBhornsUP #UBAmherstCampus https://t.co/feiqnmLCpR'"
1423,'#UBuffalo lack of free speech still an ongoing National story. #UBAlumni #UBhornsUP https://t.co/uNKySiMODF'
1424,'@ubalumni still no comment. https://t.co/mNYVoaolzR'
1425,'I sincerely want to thank you @EmilyGirsch and @FOX29Buffalo for covering this very important lesson on civics at my Alma Mater #UBuffalo #UBAlumni ~ Ray https://t.co/iR4THaCZdI'
1426,"Breaking News: Emily Girsch @EmilyGirsch, TV Reporter WITH BUFFALO FOX 29 @FOX29Buffalo interviewed Lt. Col. Allen West @AllenWest today.  Full interview to air tonight at 10 PM. #UBhornsUP #UBuffalo #UBAlumni #BoldlyBuffalo @UB_President   @UBAA_President #SUNY @yaf @YAF_UB https://t.co/EXZUGjVMvb'"
1427,"'@UBuffalo @ubalumni Sad University, very sad. https://t.co/qCpL0mmIhB'"
1428,@elonmusk could you offer to buy #UBuffalo and take it private so that it can have open and free speech?   @UB_President #UBuffalo #UBhornsUP #UBAlumni'
1429,.@UBuffalo has angry mobs in favor of #censorship.      @ubalumni ... Proud of this?      https://t.co/JKUQMOzI2r'
1430,"Attention:  @UB_President @UBAlumni: This Local, National &amp; International story doesn't seem to be going away.  When will the #UBuffalo Leader hold a press conference for #UBhornsUP's sake    https://t.co/XR3DuSMuim"
1431,American Council of Trustees and Alumni (ACTA)   @goACTA Urges the University at Buffalo @UBuffalo to Take Disciplinary Actions Following the Woke Violence Surrounding @yaf  @YAF_UB  Campus Speaker https://t.co/MnUgBd2G43  @ubalumni #UBuffalo'
1432,Am I the only one who thinks the Left are behaving (again) like the black-shirted Nazis of Hitler's Germany??  Angry mobs hunting down political opponents??? #BuildBackBetter #NoJusticeNoPeace @UBuffalo @ubalumni     https://t.co/uRAzJj71TC
1433,"'@ubalumni @yamphoto @latimes @ubalumni need to address why a black man was ran off the campus of @UBuffalo, and why he was not allowed to speak. The young woman who brought him on to speak was chased by a mob.  This is very pathetic and disturbing. The mob should be arrested and expelled.'"
1434,'@UBSchoolofMGT @UBuffalo @ubalumni @UBPMBA @UBMBAandMS @ub_cel @UBexperts Is this the same university that wouldn’t let Allen West speak? West who is a successful veteran and former congressman that happens to be black. Great job. Nothing like suppressing a great black role model'
1435,"'And alumni need to avoid the @ubalumni events, ask the fundraisers to place them on the Do Not Call List, and stop giving that mediocre school money. https://t.co/JfvJeuR4TB'"
1436,'@ubalumni @MerfEhman @UBuffalo @SUNY https://t.co/GmW03S6iCJ'
1437,@UBuffalo @ubalumni Is this okay with you? What are you doing to deal with this violent leftist mob hunting and attacking students?      https://t.co/DwsIGFkPbu'
1438,@UBCommunity @amherst_gop @UB_President @PatrickXCoyle @yaf @AllenWest @YAF_UB @UBStudentExp @ubalumni How come it's from some media rep and not @UB_President? They don't even outright condemn the violence. The president is a weak man who needs to step down and make way for someone who cares about the university and students. Liberals and Republicans alike don't care for him
1439,"'@amherst_gop @UB_President @UBuffalo @UBStudentExp @ubalumni @UbComunity @UB_President sends out apologies if someone sneezes wrong in the same building as a ""minority"" student. Can\'t wait to see him not send out any email condemning the protestors\' actions at that talk'"
1440,@4starGeneral17 @PetePothole @amherst_gop @UB_President @UBuffalo @UBStudentExp @ubalumni @UbComunity I'm old enough to remember the Vietnam War protests that went on in the 70's
1441,@amherst_gop @UB_President @UBuffalo @UBStudentExp @ubalumni @UbComunity Diversity Equity &amp; Inclusion is a complete &amp; total joke at Univ Buffalo. It's a fraud.      Here's a recent DEI survey request from Dexter Johnson. This survey is a joke too.      You can't allow visitors/students to be threatened if you believe in DEI. These students must be expelled. https://t.co/guDYvnYV5Z
1442,"'@GTMAC21 @PetePothole @amherst_gop @UB_President @UBuffalo @UBStudentExp @ubalumni @UbComunity Even dating back to the mid-late 80’s, UB was a liberal shit hole where leftists ruled the roost. Always ok for them to do as they pleased, but God forbid a right or right leaning group voiced their opinion.'"
1443,"@PetePothole @amherst_gop @UB_President @UBuffalo @UBStudentExp @ubalumni @UbComunity There's a place for it only if it's conservatives that are being attacked. Only liberals are allowed to claim victim status, even if they aren't really victims."
1444,"'@ubalumni hey alum, why are you supporting a school that allows a mob of students to aggress other students for exercising their free speech rights?'"
1445,@ubalumni you seem to be more concerned about online threats against those animals who were violently protesting than you were when actual violence occurred at the event... remember that you're just a shitty SUNY school.
1446,'The #media and #Democrats must be so proud of themselves. A speaker at @UBuffalo feared for her life as she was hunted down for beliefs. @ubalumni please stop donations until there is discipline. #StateSchool #NewYork #brainwashed #uneducated #SpeakFreely #ThisIsAmerica'
1447,"@Evan_Freed_Bflo @ubalumni @UB_President UB is too woke to expel their violent students, many of whom are undoubtedly on some form of university-granted aid. They will remain; they will keep their grants, maybe get more.      I worry more for the fate of the students who hosted this event. UB is more likely to punish them.'"
1448,"'@amherst_gop @UB_President @UBuffalo @UBStudentExp @ubalumni @UbComunity People need to be expelled, right? Is there a place for this on college campuses?'"
1449,"'This is embarrassing. Fellow @ubalumni of University at Buffalo: if nothing comes out of the @UB_President “investigation” of this violent student mob, you should cut off all donations immediately. https://t.co/mHGv5eOIqL'"
1450,@UBuffalo @ubalumni         You must be so proud!       Your leftist propaganda is working… https://t.co/RFvQNr0HSG'
1451,"'@toddstarnes @yaf @UBuffalo @UBuffalo @ubalumni officially removed from all recruiting activities and all job hire qualifications at all of our portfolio companies and vendors. Until the university takes action, their graduates will not be considered accredited or eligible to be hired.'"
1452,"'Where is the response from @UB_President Satish K. Tripathi condeming the mob activity on the #AmherstCampus Thursday night?  #UBuffalo #UBhornsUP  @PatrickXCoyle  @yaf  @AllenWest  @YAF_UB @UBStudentExp @ubalumni are waiting, but the country is getting the news on this. https://t.co/js3UEa31VZ'"
1453,'38 years ago today #UBuffalo @UBuffalo @ubalumni https://t.co/eUyEP0jRpP'
1454,'@ubalumni @UBFacultySenate @UBNewsSource @WBEN @WBFO @WBBZ @BuffaloNews716 @amherst_gop'
1455,'@ubalumni @UBFacultySenate @UBPSS @news4buffalo @BuffaloNews716 @WBEN @WBFO @WBBZ'
1456,"Through grit and hard work, #UBuffalo grad @yamphoto 's fiery passion led him to photograph the front lines of global conflict for @LATimes. Find out how. 👉 https://t.co/U4UyS8bebF https://t.co/uj4Ovaz54K"
1457,Ellen's Ethical Lens is out! https://t.co/xnrFyQd3Lp @TheIHI @ubalumni @ubswce @UBSSW @VCUSocialWork @HealthLeaders @nasw @SocDetermined @UniteUsHQ @IFICInfo @cfha_tweet @IntegratedCare6 @BHIntegration @DrHowardLiu @JudgeWren @NACHC
1458,'Hey #UBAlumni! Alumni Week is just under two months away! Have you checked out the full schedule of events yet? Check it out! https://t.co/NXytH3rDVz https://t.co/4OeqFc65Ew'
1459,'@beckyburke11 @UBwomenshoops Welcome to #UBuffalo! 💙🤘'
1460,'#UBuffalo #UBalumni https://t.co/70AVgyt0Ir'
1461,'@ubsphhp Moving along one step at a time!'
1462,"'Today! Sydney Gross Alumni Symposium at @BuffaloArchPlan, as part of the (2-year delayed) 50th anniversary celebration! Join us in-person in Hayes 403 from 1 to 5 pm. More details on all events 👉 https://t.co/lSLDhaZsJ0 #50plus #UBarchplan @UBuffalo @ubalumni https://t.co/RQJYO0ynSy'"
1463,'@ubalumni How’s the team doing so far?!'
1464,'@UBAlumO @Alnutt41 @UBAthletics @ubalumni Presumably whatever was left on her contract.'
1465,'@UBBullRun Does UB get any money back from Syracuse @Alnutt41 @UBAthletics #UBhornsUP @ubalumni'
1466,'@ubalumni The Steer'
1467,"'One World Café looks amazing!🗺️ What a great spot to hang out with friends and also get work done. If you are ever on campus, check it out! 🤘 #UBuffalo #UBalumni https://t.co/5UV1zeOeTb'"
1468,'Did you hear? #UBuffalo has leveled-up spaces for students who love computers and gaming! Where was your favorite place on campus to decompress? https://t.co/dM72x42tDO https://t.co/GT86EmDSaw'
1469,'@ubalumni Thank you to our frontline defence against the pandemic 💪'
1470,"'To show your appreciation for the #UBuffalo community of doctors and healthcare workers, reply to this and thank a doctor on #NationalDoctorsDay! https://t.co/HOR4TP6VCt'"
1471,"'Structural Racism Still Leads to COVID-19, Cancer Health Disparities https://t.co/juM682yPGr @RISEhlth @Aligning4Health @MinorityHealth @equity_center @ubalumni @NCQA @TheIHI @hastingscenter @healthequitywks @NIMHD'"
1472,'#ICYMI: Have a BOLD Conversation with the Dean of @UBCAS and others about how faculty and alumni are changing the world this Thursday at 3pm. Register now 👉 https://t.co/ATrJCpT0Ie https://t.co/KuWSokuAz5'
1473,"@ubalumni Thanks for featuring our founder, Louis Mendelsohn.  Not only is he brilliant but he's also a wonderful inspiration to all of us!"
1474,'Spread the word! #UBGivingDay is less than a month away. Join us from April 26-27 in supporting the future of #UBuffalo. https://t.co/PoOtU89pMX'
1475,Wow!😲 Amazing story about another one of our incredible #UBalumni! Thank you for sharing your story @yamphoto. Read about Marcus in the latest #UBTrueBlue story ▶️ https://t.co/l9fPFMfPio.   #UBuffalo \U0001f9ac💙 https://t.co/O5vqW3BRSO'
1476,What's the secret ingredient to a successful career? See what this #UBuffalo frag from @vantagepoint thinks. https://t.co/nTUYZsaml1 https://t.co/pjU62ViRLV
1477,'F*** your Crisis services. @UBuffalo @UB_President @ubalumni your students are entering lifetime indenture without knowing your complicity in gender violence. ARTF still there? #MeToo #CancelStudentDebt #cancelALLstudentdebt #hr4907 #s2508 #justice #assault #abuse #complicit https://t.co/DPrtVPgYjz'
1478,'@UBuffalo and @ubalumni could not be more proud of the program @CuseCoachJack created. She is an amazing individual. Congratulations on going home to @Cuse   We fight on! #UBhornsUP #GoBulls https://t.co/KeuhWw6WE0'
1479,"'Make your steps count, #UBuffalo! Join @ubsphhp for their annual step challenge during April, as a team or on your own! #UBSteps22 https://t.co/pz6RjYxoNg https://t.co/uYJ2M3s20u'"
1480,'Mark your calendar on 4/26-2/27 for #UBGivingDay! A great way to support #UBuffalo. Tell all your #UBalumni friends to do the same! 💙\U0001f9ac https://t.co/Po6WiTl2Hs'
1481,'#UBuffalo #UBalumni #CityPlanners https://t.co/EzRkcKSqKA'
1482,"'Jared Gavin, #UBuffalo computer science major, served as Victor E. Bull for almost all of his undergraduate days, from 2015-18. Find out what life is like behind the mask!!! @ubalumni https://t.co/Z4W0ZU8POC'"
1483,"'Hey, #UBAlumni! Need a midday pick-me-up? Head to our YouTube channel, subscribe, and see content that is sure to get you in the #UBTrueBlue spirit! 💙🤘https://t.co/HNUX8lSNqL. #UBuffalo https://t.co/YUQYZic2ej'"
1484,Very proud of @ubalumni (engineering '06) and ulitzer Prize–winning journalist Marcus Yam: https://t.co/rVT1QHCLvJ
1485,Love learning about what #UBalumni are doing and how they are using what they learned at #UBuffalo today. Thank you for sharing your story @MissKuitems!    #WomenInTech 👩\u200d💻👏 https://t.co/cKhi01GpB8'
1486,"So you've got your calendar marked on 4/26-4/27 for #UBGivingDay, now what? Tell a friend, or share this post to make this year bigger than ever! #UBuffalo https://t.co/SEmD9sjFlu"
1487,'#UBuffalo #UBalumni https://t.co/8kPIk6ogaL'
1488,'Did you know the Poetry Collection at #UBuffalo holds one of the largest collections of poetry in the world? #DYK #WorldPoetryDay https://t.co/BJxDaUNnL8 https://t.co/P0R8gY80Ht'
1489,'What does this #UBuffalo grad from @ElectoAnalytics say one of the most important business decisions is? Watch the full video to find out. 👉 https://t.co/jYQiFfEcnw https://t.co/7GfgDTcCyx'
1490,"'@JosephDiD @ubalumni @Dom_Insouciant Just saw this tweet (been off of Twitter lately), but was just thinking of you guys just the other day. 😊'"
1491,"'The days are getting longer! Happy first day of spring, #UBuffalo! https://t.co/QylausVB77'"
1492,'Tremendous effort by the #UBuffalo Women. #UBalumni https://t.co/fOensRvmsM'
1493,'#UBuffalo #UBalumni https://t.co/jcw8xgOO1l'
1494,'@ubalumni @UBwomenshoops Watch party overflow is around the corner at Santoras!'
1495,'#UBuffalo #UBalumni https://t.co/oAfBPaxHbq'
1496,'@ubalumni @UBwomenshoops I 👀Andy Wilcox! Lets go Buffalo!!🤘🏽'
1497,'#UBuffalo is rooting for you @UBwomenshoops!! 💙🤘 https://t.co/MWzenLPbCW'
1498,'@ubalumni @UBwomenshoops #UBhornsUP'
1499,"'Almost game time!! Meet us at the Anchor Bar on Maple, #UBuffalo! 💙🤘 Best of luck @UBwomenshoops! #UBhornsUP #UBDancing https://t.co/fNgluFxnbQ'"
1500,'@ubalumni @UBwomenshoops #GoBulls #UBhornsUP #AlwaysABull #RunningWithTheBulls #UBTrueBlue 🏀🤘💙'
1501,'@ubalumni @UBwomenshoops Horns up! From a proud alum class of ‘78 (B.S.) and ‘92 (Ed.M.)'
1502,"Don't forget, if you can't make it to Knoxville to cheer them on, we've got two watch parties for you to join!! See you there! 🤘💙 #UBHornsUP #UBDancing https://t.co/RV3Qfsldmv"
1503,'@UBBULLS1 @ubalumni @UBwomenshoops 🤞🏽🤞🏾🤞🏻'
1504,'@DrT_1913 @UBwomenshoops 💙💙'
